_0x0                                                             0x0-2018-06-24
airtame                                                          airtame-3.3.0
airwave                                                          airwave-1.3.3
gnome3.aisleriot                                                 aisleriot-3.22.8
aj-snapshot                                                      aj-snapshot-0.9.9
akkadian                                                         akkadian-7.17
akonadi                                                          akonadi-18.12.3
kdeApplications.akonadi-calendar                                 akonadi-calendar-18.12.3
kdeApplications.akonadi-contacts                                 akonadi-contacts-18.12.3
kdeApplications.akonadi-import-wizard                            akonadi-import-wizard-18.12.3
kdeApplications.akonadi-mime                                     akonadi-mime-18.12.3
kdeApplications.akonadi-notes                                    akonadi-notes-18.12.3
kdeApplications.akonadi-search                                   akonadi-search-18.12.3
kdeApplications.akonadiconsole                                   akonadiconsole-18.12.3
akregator                                                        akregator-18.12.3
alacritty                                                        alacritty-0.3.2
alarm-clock-applet                                               alarm-clock-applet-0.3.4
albatross                                                        Albatross-1.7.4
albert                                                           albert-0.16.1
alchemy                                                          alchemy-008
aldo                                                             aldo-0.7.7
aldor                                                            aldor-1.2.0
alembic                                                          alembic-1.7.10
prometheus-alertmanager                                          alertmanager-0.16.2
alfred                                                           alfred-2019.1
alibuild                                                         alibuild-1.5.4rc3
aliceml                                                          aliceml-1.4-7d44dc8e
alienarena                                                       alienarena-7.65
alienfx                                                          alienfx-1.0.0
aliza                                                            aliza
libsForQt5.alkimia                                               alkimia-7.0.1
libsForQt511.alkimia                                             alkimia-7.0.1
allegro                                                          allegro-4.4.2
allegro5                                                         allegro-5.2.4.0
alliance                                                         alliance-5.1.1
alloy                                                            alloy4-4.2_2015-02-22
alloy4                                                           alloy4-4.2_2015-02-22
alloy5                                                           alloy5-5.0.0.1
almanah                                                          almanah-0.11.1
almonds                                                          almonds-1.25b
alock                                                            alock-20170720
alpine                                                           alpine-2.21
alsa-firmware                                                    alsa-firmware-1.0.29
alsaLib                                                          alsa-lib-1.1.8
alsaOss                                                          alsa-oss-1.1.8
alsaPlugins                                                      alsa-plugins-1.1.8
alsaTools                                                        alsa-tools-1.1.7
alsaUtils                                                        alsa-utils-1.1.8
alt-ergo                                                         alt-ergo-2.3.0
altermime                                                        altermime-0.3.11
alure                                                            alure-1.2
amarok                                                           amarok-2.9.0-20180618
amass                                                            amass-2.9.1
amazon-ecr-credential-helper                                     amazon-ecr-credential-helper-0.3.0
ecs-agent                                                        amazon-ecs-agent-1.18.0
amazon-ecs-cli                                                   amazon-ecs-cli-1.14.0
amazon-glacier-cmd-interface                                     amazon-glacier-cmd-interface-2016-09-01
ssm-agent                                                        amazon-ssm-agent-2.0.633.0
AMB-plugins                                                      AMB-plugins-0.8.1
amber                                                            amber-0.5.2
microcodeAmd                                                     amd-ucode-2019-04-16
amdadlsdk                                                        amdadl-sdk-6.0
amdappsdk26                                                      amdapp-sdk-2.6
amdappsdk27                                                      amdapp-sdk-2.7
amdappsdk28                                                      amdapp-sdk-2.8
amdappsdk                                                        amdapp-sdk-2.8
amdappsdkFull                                                    amdapp-sdk-2.8
linuxPackages_hardkernel_4_14.amdgpu-pro                         amdgpu-pro-17.40-4.14.102-156
linuxPackages_4_14.amdgpu-pro                                    amdgpu-pro-17.40-4.14.116
linuxPackages_hardened.amdgpu-pro                                amdgpu-pro-17.40-4.19.40
linuxPackages-libre.amdgpu-pro                                   amdgpu-pro-17.40-4.19.40
linuxPackages_xen_dom0_hardened.amdgpu-pro                       amdgpu-pro-17.40-4.19.40
linuxPackages_xen_dom0.amdgpu-pro                                amdgpu-pro-17.40-4.19.40
linuxPackages.amdgpu-pro                                         amdgpu-pro-17.40-4.19.40
linuxPackages_4_4.amdgpu-pro                                     amdgpu-pro-17.40-4.4.179
linuxPackages_4_9.amdgpu-pro                                     amdgpu-pro-17.40-4.9.173
linuxPackages_5_0.amdgpu-pro                                     amdgpu-pro-17.40-5.0.13
linuxPackages_testing_bcachefs.amdgpu-pro                        amdgpu-pro-17.40-5.0.2019.04.04
linuxPackages_5_1.amdgpu-pro                                     amdgpu-pro-17.40-5.1
linuxPackages_latest-libre.amdgpu-pro                            amdgpu-pro-17.40-5.1
linuxPackages_latest_hardened.amdgpu-pro                         amdgpu-pro-17.40-5.1
linuxPackages_latest_xen_dom0_hardened.amdgpu-pro                amdgpu-pro-17.40-5.1
linuxPackages_latest_xen_dom0.amdgpu-pro                         amdgpu-pro-17.40-5.1
linuxPackages_testing_hardened.amdgpu-pro                        amdgpu-pro-17.40-5.1-rc7
aminal                                                           aminal-0.8.6
ammonite-repl                                                    ammonite-1.6.6
ammonite                                                         ammonite-1.6.6
amoeba                                                           amoeba-1.1-29.1
amoeba-data                                                      amoeba-data-1.1
amrnb                                                            amrnb-11.0.0.0
amrwb                                                            amrwb-11.0.0.0
ams-lv2                                                          ams-lv2-1.2.2
amsn                                                             amsn-0.98.9
amtk                                                             amtk-5.0.0
amtterm                                                          amtterm-1.6-1
amule                                                            aMule-2.3.2
amuleDaemon                                                      aMule-daemon-2.3.2
amuleGui                                                         aMule-gui-2.3.2
analecta                                                         analecta-5.17
analog                                                           analog-6.0.13
anatolian                                                        anatolian-5.17
linuxPackages_hardkernel_4_14.anbox                              anbox-modules-2018-09-08-4.14.102-156
linuxPackages_4_14.anbox                                         anbox-modules-2018-09-08-4.14.116
linuxPackages-libre.anbox                                        anbox-modules-2018-09-08-4.19.40
linuxPackages_xen_dom0.anbox                                     anbox-modules-2018-09-08-4.19.40
linuxPackages_hardened.anbox                                     anbox-modules-2018-09-08-4.19.40
linuxPackages.anbox                                              anbox-modules-2018-09-08-4.19.40
linuxPackages_xen_dom0_hardened.anbox                            anbox-modules-2018-09-08-4.19.40
linuxPackages_4_4.anbox                                          anbox-modules-2018-09-08-4.4.179
linuxPackages_4_9.anbox                                          anbox-modules-2018-09-08-4.9.173
linuxPackages_5_0.anbox                                          anbox-modules-2018-09-08-5.0.13
linuxPackages_testing_bcachefs.anbox                             anbox-modules-2018-09-08-5.0.2019.04.04
linuxPackages_5_1.anbox                                          anbox-modules-2018-09-08-5.1
linuxPackages_latest-libre.anbox                                 anbox-modules-2018-09-08-5.1
linuxPackages_latest_hardened.anbox                              anbox-modules-2018-09-08-5.1
linuxPackages_latest_xen_dom0.anbox                              anbox-modules-2018-09-08-5.1
linuxPackages_latest_xen_dom0_hardened.anbox                     anbox-modules-2018-09-08-5.1
linuxPackages_testing_hardened.anbox                             anbox-modules-2018-09-08-5.1-rc7
anbox                                                            anbox-unstable-2019-03-07
andagii                                                          andagii-1.0.2
andika                                                           andika-5.000
android-file-transfer                                            android-file-transfer-3.7
androidStudioPackages.beta                                       android-studio-beta-3.4.0.18-wrapper
androidStudioPackages.canary                                     android-studio-canary-3.5.0.12-wrapper
androidStudioPackages.dev                                        android-studio-dev-3.5.0.12-wrapper
android-studio                                                   android-studio-stable-3.4.0.18-wrapper
android-udev-rules                                               android-udev-rules-20190114
andyetitmoves                                                    andyetitmoves-1.2.2
angband                                                          angband-4.1.3
angelscript_2_22                                                 angelscript-2.22.2
angelscript                                                      angelscript-2.33.0
animbar                                                          animbar-1.2
gnome3.anjuta                                                    anjuta-3.28.0
ankacoder                                                        ankacoder-1.100
ankacoder-condensed                                              ankacoder-condensed-1.100
anki                                                             anki-2.1.11
anonymousPro                                                     anonymousPro-1.002
ansible_2_5                                                      ansible-2.5.15
ansible_2_6                                                      ansible-2.6.15
ansible_2_7                                                      ansible-2.7.9
ansible                                                          ansible-2.7.9
ansible-lint                                                     ansible-lint-4.1.0
ansifilter                                                       ansifilter-2.14
ant                                                              ant-1.10.2
apacheAnt_1_9                                                    ant-1.9.6
ant-theme                                                        ant-theme-1.3.0
